,Date,Date_US,Monthly_Rank,Name,Height_m,Gender,new_record,kite_brand,kite_model,kite_size,loaction_country,location,wind
0,1/12/13,12/1/13,1,Blair H - kiteroute.com,5.8,male,1,,,,,,
2,1/1/14,1/1/14,1,Jür gen,11.8,male,1,,,,,,
13,1/6/14,6/1/14,1,Marius Hoppe,13.2,male,1,,,,,,
23,1/12/14,12/1/14,1,Patrick Thornycroft,13.9,male,1,,,,,,
33,1/1/15,1/1/15,1,Lewis Crathern,17.4,male,1,,,,,,
53,1/3/15,3/1/15,1,Joshua Emanuel COREkites,18.3,male,1,F-One,Bandit,,South Africa,Cape Town,
73,1/5/15,5/1/15,1,Gijs Wassenaar,19.1,male,1,Best,TS,7,Netherlands,Zandvoort,35
83,1/6/15,6/1/15,1,Gilion Goveia Fluid Kiteboarding,20.3,male,1,Fluid,ATV,6,Netherlands,Zandvoort,40
93,1/7/15,7/1/15,1,Phil Morstad,21.4,male,1,North,Rebel,9,Puerto Rico,Dorado Beach,30
153,1/1/16,1/1/16,1,Aaron Hadlow,24.8,male,1,North,Vegas,,South Africa,Big Bay,40
233,1/9/16,9/1/16,1,Nick Jacobsen,26.7,male,1,Cabrinha,FX,9,Denmark,Norre Vorupor Mole,45
273,1/1/17,1/1/17,1,Joshua Emanuel COREkites,27.5,male,1,Core,GTS4,8,South Africa,Kite Beach,40
283,1/2/17,2/1/17,1,Nick Jacobsen,28.6,male,1,Cabrinha,Switchblade,9,South Africa,Kite Beach,45
373,1/11/17,11/1/17,1,Joshua Emanuel COREkites,29,male,1,Core,XR5,9,South Africa,Cape Town,
493,1/11/18,11/1/18,1,Gijs Wassenaar,29.6,male,1,Duotone,Dice,10,South Africa,Misty Cliffs,40
513,1/1/19,1/1/19,1,Maarten Haeger,32,male,1,Core,XR5,8,South Africa,Misty Cliffs,48
613,1/11/19,11/1/19,1,GetHighWithMike COREKITES,33.9,male,1,Core,XR6,7,South Africa,Kite Beach,50
623,1/12/19,12/1/19,1,GetHighWithMike COREKITES,34.1,male,1,Core,XR6,7,South Africa,Misty Cliffs,50
633,1/1/20,1/1/20,1,Maarten Haeger,34.8,male,1,Core,XR6,8,South Africa,Kite Beach,45
993,1/1/23,1/1/23,1,Jamie Overbeek🇳🇱,35.3,male,1,Ozone,R1 V4,9,Netherlands,Workum,40
1063,1/8/23,8/1/23,1,Joshua Emanuel COREkites,36.2,male,1,Core,XR Pro,7,Denmark,Hanstholm,60
1193,1/9/24,9/1/24,1,Hugo Wigglesworth | Flysurfer,36.7,male,1,Flysurfer,Era,7,New Zealand,Plimmerton,50
0,1/1/15,1/1/15,1,Tina Jerke,7.9,female,1,,,,,,
3,1/2/15,2/1/15,1,Gerdian Mijnten,13.9,female,1,,,,,,
58,1/10/15,10/1/15,1,Karen Hou🇹🇼 Penghu Taiwan,15.6,female,1,F-One,,,,,
108,1/3/16,3/1/16,1,Karen Hou🇹🇼 Penghu Taiwan,15.8,female,1,F-One,,,,,
198,1/12/16,12/1/16,1,Karen Hou🇹🇼 Penghu Taiwan,16.6,female,1,F-One,,,,,
208,1/1/17,1/1/17,1,Karen Hou🇹🇼 Penghu Taiwan,17.9,female,1,F-One,,,,,
218,1/2/17,2/1/17,1,Karen Hou🇹🇼 Penghu Taiwan,18,female,1,F-One,Bandit,,Taiwan,Longmen Beach,
298,1/10/17,10/1/17,1,Karen Hou🇹🇼 Penghu Taiwan,19.2,female,1,F-One,Bandit,6.4,Taiwan,Longmen Beach,
328,1/1/18,1/1/18,1,Karen Hou🇹🇼 Penghu Taiwan,20.5,female,1,Core,XR5,7,South Africa,Kite Beach,30
428,1/11/18,11/1/18,1,Karen Hou🇹🇼 Penghu Taiwan,22.1,female,1,F-One,Furtive,6.4,Taiwan,Longmen Beach,
438,1/12/18,12/1/18,1,Karen Hou🇹🇼 Penghu Taiwan,23.1,female,1,Core,,,,,
568,1/1/20,1/1/20,1,Gabby Pioraite CORE 🇱🇹,23.6,female,1,Core,XR6,7,South Africa,Kite Beach,50
778,1/10/21,10/1/21,1,Karen Hou🇹🇼 Penghu Taiwan,24.6,female,1,Core,XR5,6,Taiwan,Longmen Beach,40
908,1/11/22,11/1/22,1,Bouillot Angely Core kites,25.1,female,1,Core,XR7,7,South Africa,Misty Cliffs,40
1038,1/12/23,12/1/23,1,Bouillot Angely Core kites,32.6,female,1,Core,XR Pro,7,South Africa,Misty Cliffs,45
