Date,Date_US,Monthly_Rank,Name,Height_m,Gender,new_record
1/12/13,12/1/13,1,Blair H - kiteroute.com,5.8,male,1
1/12/13,12/1/13,2,Dan Sahlin,5.0,male,0
1/1/14,1/1/14,1,Jür gen,11.8,male,1
1/1/14,1/1/14,2,Stani lfk,10.7,male,0
1/1/14,1/1/14,3,Sven Möller #kitejunkiecom,10.4,male,0
1/1/14,1/1/14,4,Johan Beinö,8.1,male,0
1/2/14,2/1/14,1,Daniël Hamerpagt,7.7,male,0
1/2/14,2/1/14,2,Dimitri Loisel,4.0,male,0
1/3/14,3/1/14,1,Olli Bräuer,4.2,male,0
1/4/14,4/1/14,1,Luis Bischop,4.4,male,0
1/4/14,4/1/14,3,Lepine Yannick,3.4,male,0
1/5/14,5/1/14,1,INOXMAN Argaiz,11.2,male,0
1/5/14,5/1/14,2,Lepine Yannick,4.2,male,0
1/6/14,6/1/14,1,Marius Hoppe,13.2,male,1
1/6/14,6/1/14,2,Robert Lindvall 🇸🇪,8.0,male,0
1/7/14,7/1/14,1,Karolis Taujanis,5.9,male,0
1/8/14,8/1/14,1,Tomas Steppat,13.0,male,0
1/8/14,8/1/14,2,Folkert Koldewijn,10.0,male,0
1/9/14,9/1/14,1,Sven Möller #kitejunkiecom,8.9,male,0
1/9/14,9/1/14,2,Ole Christian Rynning,7.0,male,0
1/10/14,10/1/14,1,Stani lfk,9.9,male,0
1/11/14,11/1/14,1,Leo Koenig,12.7,male,0
1/11/14,11/1/14,2,Robudd // Hanse Kitesurfing,7.6,male,0
1/12/14,12/1/14,1,Patrick Thornycroft,13.9,male,1
1/12/14,12/1/14,2,Kevin Langeree,13.6,male,0
1/12/14,12/1/14,3,Tomas Steppat,13.4,male,0
1/12/14,12/1/14,4,Demo Benelux,13.4,male,0
1/12/14,12/1/14,5,cris contz,10.2,male,0
1/12/14,12/1/14,6,Leo Koenig,9.9,male,0
1/12/14,12/1/14,7,Ron Woodyard,8.3,male,0
1/12/14,12/1/14,8,Josh Hamilton,7.4,male,0
1/12/14,12/1/14,9,Martin Haugdal,7.3,male,0
1/12/14,12/1/14,10,Kirk Anderson,7.1,male,0
1/1/15,1/1/15,1,Lewis Crathern,17.4,male,1
